,idx,question,content,best_answer,focus,age,gender,other_demographic,sadness_support,sadness_cause,joy_support,joy_cause,fear_support,fear_cause,anger_support,anger_cause,surprise_support,surprise_cause,disgust_support,disgust_cause,trust_support,trust_cause,anticipation_support,anticipation_cause,confusion_support,confusion_cause,denial_support,denial_cause,neutral,other_emotional_state,informational_support,emotional_support,esteem_support,tangible_support,network_support,other_support,support_needs,any_notes,other_demographic ,focus 
14,2175116,** 2 QUESTIONs... **?,"1.  What is lupus and what are the symptoms for lupus?  My grandmother died from lupus around 36 years old, 5 days before i was born!  I think that is pretty young!  I take after her side of the family which has breast cancer, high blood pressure, ect...

2.  I have recently been noticing dandruff in my hair and have tried a couple shampoos, they didn't work! What are other ways to get rid of it?  I heard that tanning can help, is that true?

-by the way i'm 14!
Any advice will help, thanks!","no tanning wont help dandruff..they make certain stuff you can buy over the counter at your local drug store for that.. Lupus is a chronic inflammatory disease that can affect various parts of the body, especially the skin, joints, blood, and kidneys. The body's immune system normally makes proteins called antibodies to protect the body against viruses, bacteria, and other foreign materials. These foreign materials are called antigens. In an autoimmune disorder such as lupus, the immune system loses its ability to tell the difference between foreign substances (antigens) and its own cells and tissues. The immune system then makes antibodies directed against ""self."" These antibodies, called ""auto-antibodies,"" react with the ""self"" antigens to form immune complexes. The immune complexes build up in the tissues and can cause inflammation, injury to tissues, and pain.",,,,,,,,,"I have recently been noticing dandruff in my hair and have tried a couple shampoos, they didn't work! What are other ways to get rid of it?",lupus,,,"My grandmother died from lupus around 36 years old, 5 days before i was born!  I think that is pretty young!",lupus,,,,,,,,,,,,,"Yes: What are other ways to get rid of it?  I heard that tanning can help, is that true?","Yes: -by the way i'm 14!
Any advice will help, thanks!",,,,,Yes: no tanning wont help dandruff..they make certain stuff you can buy over the counter at your local drug store for that.,,,lupus
15,4126982,For type 2 diabetics on medication...?,"Have you found that you are more prone to hypos in the cold weather?  
I have not been diagnosed that long (about 5 months) so this is all new to me.  I have good control most of the time but in the mornings I have been going hypo.  I saw my doctor and she stopped my morning meds (Metformin 500ms) and told me just to take the evening dose.  My levels settled nicely, then it got colder and suddenly i'm going hypo again!  Yesterday I was standing waiting for a bus and felt a bit strange, I did a blood test and I was down to 3.4 mmol.  Luckily I had some glucose tabs in my bag to remedy the hypo.  Is this usual?  Do I just need to increse my low GI carbs in the morning?  Is there any other way to cope with it?  Lots of questions!!!!  lol
All help will be appreciated.","When it is cold, your body raises its metabolism in order to keep you warm, which uses more energy/sugars/carbs, so it could easily lower your blood sugar.",,,,,,,,,,,,,"My levels settled nicely, then it got colder and suddenly i'm going hypo again! ",type 2 diabetics,,,,,,,,,,,,,Yes:  Is this usual?  Do I just need to increse my low GI carbs in the morning?  Is there any other way to cope with it?  ,Yes: All help will be appreciated.,,,,,Yes: Whole Answer,,,type 2 diabetics
16,2846052,Sound like pregnancy to you?,"I have very sore breasts and nips, linea nigra..I have never had this and was told this was a sign of pregnancy, heard of women getting this line early, I get a little nausiated off and on through-out the day...no vomit though, a few abdominal pains,im a little tired, sometimes I have period-like pains but no blood. there are these little bumps on my left areola not around but on..I have never noticed them and I have no clue what they are. yeah I know I need to get a pregnancy test but I really would just rather rely on my period. So Im just asking for opinions does this sound like pregnancy?",sounds like I did with my first pregnancy. There's a good chance you could be.,,,,,,,,,,,,,there are these little bumps on my left areola not around but on..I have never noticed them and I have no clue what they are. ,pregnancy,,,,,,,,,,,,,Yes: So Im just asking for opinions does this sound like pregnancy?,,,,,,Yes: Whole Answer,,,pregnancy
17,1216683,Somnambulism?,"This is a new thing for me:  two nights this week, I woke up to find my son in my bed, having no recollection of waking up in the night and getting him.  Anytime I wake up in the night, for whatever reason, I _always_ look at the clock and remember in the a.m. what time I woke.  This was not the case for the two nights this week.  So I think I must be sleepwalking.  Besides being wierd, it worries me because what else might I do in my sleep?  I've heard somnambulism can be dangerous too.  Has anyone else experienced this?  And also experienced it suddenly, older in life (I am 30)- I know kids do this more frequently than adults too.  Thanks.","I have never sleepwalked, but my brother used to.  He used to leave the house most nights, luckily, he generally ended up next door so he didn't go too far. We couldn't lock the door as he would still get out somehow, so it was best to let him go out the front door rather than damage himself trying to get out of a window or something.

Here is some info for you : http://en.wikipedia.org/wiki/Somnambulism",,,,,,,,,  I've heard somnambulism can be dangerous too.,"My hair is falling out, i've got sores and bruises appearing on my body",,,"This is a new thing for me:  two nights this week, I woke up to find my son in my bed, having no recollection of waking up in the night and getting him. ",Somnambulism,,,,,,,,,,,,,"Yes: Has anyone else experienced this?  And also experienced it suddenly, older in life (I am 30)- I know kids do this more frequently than adults too.  Thanks.",,,,,,Yes: Whole Answer,,,Somnambulism
18,4374946,insomnia for years. How can i get to sleep?,"for as long as i can remember i've had sleep troubles. i've always taken hours to fall asleep then i awaken numerous times at night. i'm 33 now and it's gotton much worse recently , i have a new baby (4 months) who is a great sleeper yet i'm still up all night ""listening"". I'll go two or three days with no sleep at all and then i'll eventually crash . I feel dilerious and exhausted yet i can't shut my head off. i ofton find myself having obsessing thoughts such as a song i can't get out of my head or i'll realize i'm asking myself over and over ""what time is it? why can't i sleep?"" i don't drink caffeine at all , i'm keeping as active as a walking zombie can and i'm definitely tired when i lay down but can't drift off. any new or unique suggestions? i've tried lunesta and it helps but i'd rather not take a sleep aid because i need it so ofton. i am on anti-depressents and have been for about ten years except during pregnancy , couldn't sleep then either.","I've had really good success with melatonin.  Its a natural substance that's secreted by our pineal glands and regulates our sleep cycles.  I started taking it to help overcome jet lag but now, when I can't ""turn my head off"" I'll take it and get sleepy within 1/2 an hour and generally sleep very well.  No side effects as its completely natural and already produced for this exact purpose, by our bodies.",,,,, I feel dilerious and exhausted yet i can't shut my head off. ,insomnia,,,,," i ofton find myself having obsessing thoughts such as a song i can't get out of my head or i'll realize i'm asking myself over and over ""what time is it? why can't i sleep?"" i don't drink caffeine at all , i'm keeping as active as a walking zombie can and i'm definitely tired when i lay down but can't drift off. ",insomnia,,,,,,,,,,,,,,,Yes: insomnia for years. How can i get to sleep?,,,,,,Yes: Whole Answer,,,insomnia
19,2677310,"is ""Merisant Company"" ""EQUAL"" a responsible company?","just bought a box of ""EQUAL"" for my dad who is diagnose with a mild case of diabetes plus he had a heart condition and a host of other medical problems.

it's state in fine print ""UNSUITABLE FOR PHENYLKETONURICS"". but what on earth is ""PHENYLKETONURICS""? should it be sold over the counter if 9 out of 10 of the population dont' know what the hell ""PHENYLKETONURICS"" is? what if someone with the medical condition ""PHENYLEKETONURICS"" took it without realizing it's not meant for them? what will the harmful effect be? 

maker of product sold over the counter must be made to disclose to the general public such information instead of just the warning""UNSUITABLE FOR PHENYLKETONURICS"".

urgent ....... please let me know what the term meant ........ before i gave it to my dad.","http://www.medscape.com/medline/abstract/8536808

I did a search of the word in your question and this is one of the top four sites that came up.
It should give you info to start understanding what it means.

I am a cancer patient and have tried to make heads or tails of the conflicting data about artificial sweetners but it can be confusing.
I was told that ""splenda"" which is made from sugar is better than the other replacements but just a few days ago found info that says it can be harmful too so I don't know anymore what to use.",,,,,,,,,,,"but what on earth is ""PHENYLKETONURICS""? should it be sold over the counter if 9 out of 10 of the population dont' know what the hell ""PHENYLKETONURICS"" is? w",PHENYLKETONURICS,,,,,,,,,,,,,,,Yes: urgent ....... please let me know what the term meant ........ before i gave it to my dad.,,,,,,No,,,PHENYLKETONURICS
20,241832,I live with a veteran who has a severe case of Post Traumatic Stress Disorder.?,"Although I love him very much, living with him can sometimes be extremely difficult. He is just now starting to get professional help for PTSD, after being home for a year. I was just wondering if any one could give me some advice on how to help him at home too?

I always considered myself a very patient person, but when he's throwing his ""fits"" as we call them, it is extremely hard for me to not lose my temper also.","PTSD is such a difficult thing to deal with--for both the sufferer and those around them, as I'm sure you know. I'm glad your loved one is getting help (counceling, I hope, and meds.)

Many times, the majority of attention is paid to the sufferer and there is very little thought into how the caretaker is doing. Your health is just as important as his--you need to provide strength and have the will to help him through the roughest of times. 

I dealt with PTSD a few years ago, and though it wasn't nearly as bad as the trauma of war, I'm sure, it's stil hell. 

Have you ever had a nightmare where you swore it was real, then woke up and were so relieved it was just a dream? This is a diluted example of what PTSD is like--only it's all the time, day or night. He's probably reliving the trauma--people dying, constant uneasiness, being prepared for the worst at all times. 

I recommend making your home as much of a sanctuary for him as possible. Put on some soothing music, light a few lavender-scented candles and keep the atmosphere as calm as possible. The key here is to limit the amount of situations where he can become startled or be reminded of his time in the military, which may be what's leading to these ""fits."" 

Again, I'm so glad he's getting help, but be sure to monitor your health as well. If you feel overwhelmed, it might be time to see a councelor who can listen to and understand what you're going through. 

Good luck!",,,,, living with him can sometimes be extremely difficult,Post Traumatic Stress Disorder,,,,,"but when he's throwing his ""fits"" as we call them, it is extremely hard for me to not lose my temper also.",Post Traumatic Stress Disorder,,,,,,,,,,,,,,,Yes: I was just wondering if any one could give me some advice on how to help him at home too?,,,,,,"Yes: Again, I'm so glad he's getting help, but be sure to monitor your health as well. If you feel overwhelmed, it might be time to see a councelor who can listen to and understand what you're going through. ",,,Post Traumatic Stress Disorder
21,2365047,What can be some of the causes of short term memory loss?,"I can smoke a cig, forget I already had one and light up again 5 minutes later? can't remember the names of simple objects, such as, tell one of my kids to shut the microwave off, when it's the air conditioner I want off. have someone at work tell me how to do something, 5 minutes later I will remember talking to the person, but no memory of what was said. --gets very frustrating..
and embarassing. does anyone else have this problem or might know how to deal with it or what causes it??  thank you","Could be many things.  If you have been under anesthesia, on any medication, have any mental problems, etc. and how old you are can all affect this.  It also could be something as simple as if you have been under a lot of stress lately.  If you haven't been under a lot of stress or getting poor sleep, then you may want to contact your doctor to get a definitive diagnosis.  I hope that you get feeling better.",,,,,,,,,,,"have someone at work tell me how to do something, 5 minutes later I will remember talking to the person, but no memory of what was said. --gets very frustrating..",short term memory loss,,,,,,,,,,,,,,,Yes:  does anyone else have this problem or might know how to deal with it or what causes it?? ,,,,,,"Yes: If you haven't been under a lot of stress or getting poor sleep, then you may want to contact your doctor to get a definitive diagnosis.  I hope that you get feeling better.",,,short term memory loss
22,680170,"Serious life changing heat intolerance, help needed pleaseeeeeee?","Well if someone can solve this problem, well what can I say, it would truley be a miracle. And yet I don not think my question or problem is that rare?
I am 46 years old female. I am always soaking dripping with sweat. I am not stretching the truth. I have to change my clothes continuosly.I cannot go to others houses, it is too hot, I had to stop going to church, too hot, stopped going bingo, shopping, walking ect. It is NOT anything to do with menopause as this has been going on for years!!  It is not as simple as please help me I sweat a lot. It is ruining my entire life. It dictates when I go out and where. I can enjoy nothing because I am too hot to enjoy anything. The doctor has tested thyroid a lot, negative. Not thyroid or menopausal related. Any else have this or know any tips or????","This is a tough question. You will not get any great answers here without more history. Ask your doctor for a referal to an endocrinologist who can evaluate your hormonal system in better detail than a primary care physician can.
Serotonin syndroem comes to mind, your doctor can check 5 HIAA in a 24 hour urine to rule out carcinoid syndrome.
many medicines can cuase this from certain anti-emetics to antidepressants including effexor - other medicines can cuase this in combination even such combinations as imitrex and zoloft. 
in additon to a thorough endocrine work up ask your doctor for a referal to a dermatologist who can do botox injections for your hyperhydrosis - they are miraculously effective and even covered by insurance.
There are also surgeons who can destroy the nerves that cause excessive sweatiness. Ask your doctor about drysol for hyperhydrosis as well.
If you take ANY herbs or supplements make sure your doctor can review them all.

I do wish you luck, and I am certain , even if no clear diagnosis can be established, you can get relief from your symptoms.
Good luck!",,,,,  I can enjoy nothing because I am too hot to enjoy anything.,soaking dripping with sweat.,,,,,It is ruining my entire life.,soaking dripping with sweat.,,,,,,,,,,,,,,,Yes: Any else have this or know any tips or????,,,,,,Yes: Whole Answer,,,heat intolerance
25,3322294,Anyone know how to prevent kidney stones?,"I have diabetes and am on med that increases chance of stones. I've heard they are painful, and I DON'T do pain, so I need to avoid these!
I've heard that citrus was good. Then I heard that grapefruit was the worst, but that lemon was still okay.
I heard that cranberries were the ticket, so I've been eating and drinking all things cranberry, but yesterday I read that they are terrible.
I'm so confused!
Anyone ..........","My family has history of kidney stone and bladder stones.  It was very very painful for them as well as the relatives that took care of them watching them suffer.

It has then become a family practice to avoid these problems, so hopefully I can be some kind of help here.

Kidney stone or any kind of stone development is partly due to eating habit and behavior pattern.  So watchout on your diet and how you move about the day should solve this problem completely.

The stone is due to deposit of minerals in your body, most likely in your urine fluid.  There are also bacteria in your urine that will convert your urine into ammonia, which will help form these stones in your Kidney or bladder.  The stone takes anywhere from 4-6 years to form, as long as you take care of youself it shouldn't happen to you.

You should watching out your mineral intake such as calcium and magnesian (salt), just keep it balance and don't eat too much of it.  That should lower your mineral deposit in your fluid.  But don't go on a low-calcium diet, otherwise your body will be lack of calcium and other problem will arises.

You should also watch out for sitting down for a long period of time, since it will slow down your blood circulation in your lower back (kidney) area, just remember to get up and walk around for 5-10 mins every 45-60mins to help your blood circulate.  

Also if you sit down in a chair and lay back your back, it creates pressure / tension in your lower back part of your body.  Try not to lay backward when you sitting down and instead sit straight, a good posture would help your blood flow and ease tension in your lower back.

You also need to drink enough water during the day.  Having water constantly flowing through your body will dilute your urine and help your body get rid of mineral deposit through daily urine discharge.  

By diluting your urine you also decrease the chance of the bacteria converting your urine into ammonia, since your urine is not that concentrated and not much to convert.

The last thing to do is exercise regularly, like jogging / swimming or some kind of sport 2-3 times a week to keep the body in shape.  A good cardiovascular exercise that would boost blood circulation will definitely help you prevent any disease.

Hope this helps.",,,,,,,,,"  I've heard they are painful, and I DON'T do pain, so I need to avoid these!",kidney stones,,,,,,,,,,,,,,,,,Yes: Anyone know how to prevent kidney stones?,,,,,,Yes: Whole Answer,,,kidney stones
26,1858581,What kind of financial support is available to single mothers with terminally ill child?,I am 42 with Parkinsons and have a 15 yr old son with MD who is currently on a transplant list for his second heart. I am unable to leave him and work due to sudden cardiac arrest. I have searched and searched for  financial aid programs and they all close the door. What does one do in this situation? The stress of his care and dealing with the thought of losing him is overwhelming enough. I am in fear of losing everything.......,Can you send me an e-mail? I can help you there. I know of many but please e-mail me.,,,,,I have searched and searched for  financial aid programs and they all close the door. ,single mothers with terminally ill child,,, I am in fear of losing everything.,single mothers with terminally ill child,,,,,,,,,,,,,,,,,Yes: What kind of financial support is available to single mothers with terminally ill child?,,,,,,Yes: Whole Answer,,,financial aid programs
28,1883135,Does oxycodone cause edema?,"I have a feeling that my father is back to taking oxycodone.  He finished a rehab program several months ago but He looks really bad recently.  His face stays red as a tomato, he has severe edema (his feet can't even fit into his shoes), constant sweating, and extreme sleepiness.  I asked him if he was back on the pills and of coarse he denied it.  I'm just wondering if these symptoms sound anything like what the oxycodone will do to you.","Oxycodone is a Category 2 Schedule drug with a high risk of abuse. The Symptoms of abuse are what you described. I checked my Mosbys and Tabers Medical Books, and both say the same. I hate to give advice on here unless I see it in bold print.
The only thing higher is a class 1, and thats cocaine...Do you know who is prescribing it? 

Edema can be a reaction, and if he has edema, that can cause grave dangers, of which I am sure you are aware of.
Edema is the increase of interstitial fluid in any organ. Generally, the amount of interstitial fluid is in the balance of homeostasis. Increased secretion of fluid into the interstitium or impaired removal of this fluid may cause edema.

Generation of interstitial fluid is regulated by Starling equation of Tissue Fluid which states that it depends on the balance of osmotic pressure and of hydrostatic pressure across the capillary walls. Consequently, anything that increases oncotic pressure outside blood vessels (for example inflammation), or reduces oncotic pressure in the blood (states of low plasma osmolality, for example cirrhosis) will cause edema. Increased hydrostatic pressure inside the blood vessel (for example in heart failure) will have the same effect.

Abnormal removal of interstitial fluid is caused by obstruction of the lymphatic system, for example due to pressure from a cancer or enlarged lymph nodes, destruction of lymph vessels by radiotherapy, or infiltration of the lymphatics by infection such as elephantiasis.",,,,,,,,,He finished a rehab program several months ago but He looks really bad recently. ,"oxycodone, edema",,,,,,,,,,,,,,,,,Yes:  I'm just wondering if these symptoms sound anything like what the oxycodone will do to you.,,,,,,Yes: Whole Answer,,,"oxycodone, edema"
29,270394,"Medical question: professionals only, please! Re: weight and birth control.?","I am 5' 2"" and weigh about 127. I want to lose around 7 pounds. I started Ortho Tri-Cyclen Lo in March of this year. I have gained, at most, about four pounds while on the pill, but considering I moved to college and my lifestyle habits have changed a lot, I cannot blame the gain entirely on the pill. 
I do know, however, that before I was on the pill, I could lose weight and keep it off incredibly easy. Now, I exercise three to five times a week, for about 45-60 minutes each time, doing both cardio and weights. I also try to watch what I eat (although I don't do as great a job at that). Despite working so much harder now, I have not lost any weight in three months of exercising. I have a feeling the inability to lose weight IS due to the pill.  
This really isn't a vanity issue; my entire family has weight, diabetes and heart problems, so it is very important to me to keep my weight down and under control.
Will getting off the pill for two months or so help me with this problem?","3. Myth: The pill will make me gain weight.
Fact: Most women do not gain weight on the pill. But if you do it is likely to be water retention, limited to about 2 pounds. However, some women find the pill increases their appetite, which in turn causes overeating and weight gain. The solution: Switch to a different birth control pill. http://www.webmd.com/content/Article/105/107875.htm?pagenumber=3

I'm on the pill. Could it be making me fat? By Deb Levine, MA 

May 1, 2000 (San Francisco) -- There may be several reasons you put on weight while on the birth control pill. 
The hormones in the Pill (estrogen and progesterone) can alter water metabolism, sometimes causing fluid retention (called edema). A woman could experience a weight gain of up to five pounds from this temporary side effect that usually begins in the first month and lasts for four to six weeks. Decreasing your intake of salt could lessen this water gain, so you might want to cut down on chips, pretzels, and other salty foods when you're on the Pill. 
In addition, the hormones in some types of birth control pills can cause increased or decreased appetite, leading to weight gain or loss. If you notice a weight change, discuss it with your doctor during your next visit. 
You might also ask your doctor if you can switch to one of the pills that contains a lower dose of estrogen if you are not already taking one. According to a study of 463 women published in the March 13, 2000 issue of the journal Contraception, side effects such as bloating and breast tenderness were one-third less common in women taking lower-dose pills than those taking higher-dose ones, without a loss of effectiveness in preventing pregnancy. 
You should also report to your doctor any problem lasting more than two or three menstrual cycles. And if you have severe pain or swelling in the legs (thigh or calf), severe headache, dizziness, weakness, numbness, blurred vision (or loss of sight), speech problems, chest pain, shortness of breath, or abdominal pain, report them to your physician immediately. These symptoms could indicate a more serious condition such as a heart problem or abnormal blood clotting. 

Deborah Levine, MA, is a health educator and author of The Joy of Cybersex. She has presented papers at the World AIDS Congress and the American Public Health Association meeting on the use of the Internet for sex education. 
http://www.webmd.com/content/article/42/1687_50228.htm",,,,,,,,,I have a feeling the inability to lose weight IS due to the pill.,weight and birth control.,,,,,,,,,,,,,,,,,Yes: Will getting off the pill for two months or so help me with this problem?,,,,,,Yes: Whole Answer,,,"weight, birth control"
30,3479402,Fibromyalgia - help! - do you think I have it?,"my symptoms- 10 yrs. chronic neck pain not cleared up by months of PT/acupuncture/anti-inflamms.; headaches (muscle tension & migraine);
TMJ;
chronic joint pain - neck, back, hips, knees, ankles, toes;
constant total exhaustion & never feel rested after sleep;
depression/anxiety;
dry eyes, mouth;
very low exercise stamina;
joint pain worse after exercise, in morning;
IBS;
susceptible to ankle sprains (3 in 5 years);
sensitive to light/noise;
sensitive to hot/cold weather & humidity;
lack of concentration/focus.
There are also points on my legs that hurt a lot if pressed, but don't correspond to any kind of injury - it just hurts and has for a long time.
The second part of my question is: 
Has anyone who has this taken ACCUTANE? I'm trying to find a correlation because I have constant lingering problems due to accutane - chronic intercranial hypertension (pseudotumor cerebri), pressure/pounding in head, tinnitis, fatigue.
THANKS SO MUCH!","I have had Fibro since I was 16, actually 20 years now. It does sound like you have some of the symptoms. I am also wondering if you may have Rhuematiod Arthritis because of the joint involvement. Your headaches may actually be Cluster Headaches if they continue to reoccur frequently and you have a sharp pain around one eye. My clusters usually sit in the back of my head until a spike hits me in the eye (what it feels like). Also, these conditions can co-exist (you can have them both). I don't believe I have ever taken Accutane.
Fibromyalgia associated syndromes

It is not unusual for fibromyalgia patients to have an array of bodily complaints other than musculoskeletal pain. It is now thought that these symptoms are a result of the abnormal sensory processing � as described in the previous section. Recognition and treatment of these associated problems are important in the overall management of your fibromyalgia. 

Non-restorative sleep
Cognitive dysfunction
Chronic fatigue
Cold intolerance
Restless leg syndrome
Multiple sensitivities
Irritable bowel syndrome
Dizziness
Irritable bladder syndrome
Neurally mediated hypotension

1. Chronic fatigue: The common treatable cause of chronic fatigue in fibromyalgia patients are: (1) inappropriate dosing of medications (TCAs, drugs with antihistamine actions, benzodiazapines etc.), (2) depression, (3) aerobic deconditioning, (3) a primary sleep disorder (e.g. sleep apnea), (4) non-restorative sleep (see above) and (5) neurally mediated hypotension (see below). A new drug called Provigil is of some help when used intermittently for management of fatigue.

2. Restless leg syndrome: This strictly refers to daytime (usually maximal in the evening) symptoms of (1) unusual sensations in the lower limbs (but can occur in arms or even scalp) that are often described as paresthesia (numbness, tingling, itching, muscle crawling) and (2) a restlessness, in that stretching or walking eases the sensory symptoms. This daytime symptomatology is nearly always accompanied by a sleep disorder - now referred to as periodic limb movement disorder (formerly nocturnal myoclonus). Treatment is simple and very effective � DOPA / Levodopa (Sinemet) in an early evening dose of 10/100 (a minority require a higher dose or use of the long acting preparations).

3. Irritable bowel syndrome: This common syndrome of GI distress that occurs in about 20% of the general population is found in about 60% of fibromyalgia patients. The symptoms are those of abdominal pain, distension with an altered bowel habit (constipation, diarrhea or an alternating disturbance). Typically the abdominal discomfort is improved by bowel evacuation. Due to abnormal sensory processing these symptoms may be quite distressing to fibromyalgia patients. Treatment involves (1) elimination of foods that aggravate symptoms, (2) minimizing psychological distress, (3) adhering to basic rules for maintaining a regular bowel habit, (4) prescribing medications for specific symptoms; constipation (stool softener, fiber supplementation and gentle laxatives such as bisacodyl), diarrhea (loperamide or diphenoxylate) and antispasmodics (dicyclomine or anticholinergic / sedative preparations such as Donnatal).

4. Irritable bladder syndrome: This is found in 40-60% of fibromyalgia patients. The initial incorrect diagnoses are usually recurrent urinary tract infections, interstitial cystitis or a gynecological condition. Once these possibilities have been ruled out a diagnosis of irritable bladder syndrome (also called female urethal syndrome) should be considered. The typical symptoms are those of suprapubic discomfort with an urgency to void, often accompanied by frequency and dysuria. In a sub-population of fibromyalgia patients this is related to a myofascial trigger point in the pubic insertion of the rectus abdominus muscles � and may be helped by a procaine myofascial trigger point injection). Treatment: involves (1) incr",,,,,"There are also points on my legs that hurt a lot if pressed, but don't correspond to any kind of injury - it just hurts and has for a long time.",Fibromyalgia,,,I have constant lingering problems due to accutane ,Fibromyalgia,,,,,,,,,,,,,,,,,Yes: Has anyone who has this taken ACCUTANE?,,,,,,Yes: Whole Answer,,,Fibromyalgia
32,645102,Headache problem after head injury please help PLEASE?,"Hi its been a week sice i fell off my bike and head straight onto the concrete. Doctors said i am all right to go no brain damage or anything got stitches done. But now if i stand up too quickly, shake my head, get a fright, lower my whole body,sneeze or do any sudden movements it hurts my whole inside of my head for 1 second. It feels like the pain after u headband and u can feel the brain moving about. Does anyone know if this is serious or how it can be treated and if so how long it will take??
Thanks","You need some follow-up with your Dr. There is something which we see fairly frequently in concussions called ""post concussion syndrome"". Basically it means you still have symptoms of the concussion . This can last for several weeks or longer often depending how severe the concussion was to start with. My daughter fell skiing a few years back , was hospitalized for 24 hours and then spent about three weeks at home getting over headaches ,nausea etc. Your brain was jostled about inside your skull so give it some time to heal but go and consult with a Dr. Best of luck and take it easy on that bike.",,,,,,,,,It feels like the pain after u headband and u can feel the brain moving about. ,"Headache problem, head injury",,,,,,,,,,,,,,,,,Yes: Does anyone know if this is serious or how it can be treated and if so how long it will take??,,,,,,No,,,"Headache problem, head injury"
33,1777559,morning after pill...abnormal period?,"In late April my boyfriend's condom broke and I used the morning after pill. About a week and a half later I started my period, but it was much shorter and lighter than usual...it is usually 5 days of heavy bleeding, but now it was only 2 days of light bleeding. This week I had another period and it too was much shorter and lighter than usual. In addition, I passed a large bit of what looked like tissue. I have also been experiencing dull stomach and side pains, extreme fatigue, bloating and lower back pain...which kind of sound like early pregnancy symptoms to me, but I figured since I had a period and I took a negative pregnancy test, that it must not be that. Are these normal side effects of the morning after pill? Also, is it possible that I could be pregnant even though I took a negative test?",There is always a possibility of a false negative...there is never a false positive.  The test just might not have picked up on the hormones...or you took it too soon... if you are pregnant.  I would say that you should make a doctors appointment though.  Make sure that everything is ok.  And the doc. will be able to let you know of possible side effects of this pill.,,,,,,,,,"it is usually 5 days of heavy bleeding, but now it was only 2 days of light bleeding.",abnormal period,,,,,,,,,,,,,,,,,"Yes:  Are these normal side effects of the morning after pill? Also, is it possible that I could be pregnant even though I took a negative test?",,,,,,Yes: Whole Answer,,,period
34,4179146,"Has anyone had this? And if so,...what could be the cause of it?","I have had episodes since I was about 12 or 13 where I get like paralyzed from the waist down. No feeling, complete weakness,...I just hit the ground. It last for about 15 minutes to 2 hours. Sometimes one leg,...sometimes both legs. The other day I had one leg go numb and I felt of my foot because it turned blue,...it was ice cold. I have a sister that has MS and MD, another sister with MS, another sister had hodgkin's disease, mother died from a stroke,sister died from a heart attack, diabetes also in niece,mother,sister by the way. Any suggestions on what this could be is much appreciated. Also if you have these symptoms I would like to hear. Thanx again",sounds like you have a blood clot or some kind of circulatory problem. With all the health issues in your family sounds like you need to be getting full exams regularly.,,,,,,,,,"No feeling, complete weakness,...I just hit the ground. ",paralyzed,,,,,,,,,,,,,,,,,Yes:  Any suggestions on what this could be is much appreciated. Also if you have these symptoms I would like to hear. Thanx again,,,,,,Yes: Whole Answer,,,paralyzed
35,1005534,wifehaveslip disc % MRI L4-5 Disc  Degeneration Herniated L4-5 &right sided neural compromiseSuggesttreatment?,"My wife have slip disc problem. She had pain in back Shje was on bed rest wef 11th March. Now she is improving . But now when she walk, she is tillted to the right side and has little pain.
The details of MRI Report which was done on 25th March are:-
Mild cervical-Lumbar Spodylosis with L3-4,L4-5 Dis gegeneration. Significant right paracentral protrusion-Extrsion with downward migration of herniated L4-5 Disc causing significant Right Sided Neural Compromise with Thecal Sac Cauda Equina compromise.
Additiuonal MILD PIVD-C4-5,C5-6,L3-4 discs

Please suggest the further treatment","I had similar, started five years ago, same discs, L5 S1 prolapsed laterally, trapping and bruising sciatic nerve to such a degree that I had to stop work, could not sit for longer than 5 mins, could not walk anywhere without significant pain, leg would give way through weakness and numbness, finally had two MRI's, got me in for surgery, disc decompression + discechtomy on Dec 20th.  I posted a question about this procedure, it was agony, and I was in hospital for two weeks over Xmas.  It did not improve, in fact pain was worse than pre-op, so had me back in March 17th for 4th nerve root block.  That kicked in after about 3 weeks.  I would NOT recommend any surgery whatsoever on the spine or spinal cord, until you have tried every, I mean, ever other avenue, including chiropractice, physiotherapy, osteopathy, and a whole bunch of specially programmed exercises.  Keep mobile.  I am about half way back to where I was before surgery, and they tell me it will be a year before I really benefit (!). I am very sceptical.  I did not receive one single answer to my question regarding decompression, therefore I assume either readers don't know what it is, or they haven't had it done.  Ive had some silly answers and some very good advice but NOT FOR post op disc decompression, sadly.  You don't say how old your wife is?  I was 59 when mine started to exacerbate after a 23 hour flight to Sydney from UK to see my daughter.  I knew something was terribly wrong, and had three months of agony over there.  What treatment has been suggested to your wife?  I cannot see how it will improve unless something is done quickly for her, such as physiotherapy and/or exercises.  The pain from sciatica is notoriously difficult to keep under control.  Not even morphine pathes helped in the end.  It's a condition she will have to nurse along very carefully, always pacing herself.  Perhaps it will improve and heal itself, but only if she is very careful.  I wish her very quick healing indeed.  Funny how I haven't had one single answer to my question, maybe it isn't so common in the US?",,,,,,,,,"Now she is improving . But now when she walk, she is tillted to the right side and has little pain.",slip disc problem,,,,,,,,,,,,,,,,,Yes: Please suggest the further treatment,,,,,,No,,,slip disc problem
